#OTU_IDs	16S_rRNA_Count
309428	5
1105867	2
1105860	3
4226710	3
1105862	2
309422	5
309420	6
355064	2
1105868	2
1091956	6
301218	4
330908	5
330905	7
330900	4
330903	2
330902	3
351693	1
351698	3
620656	3
343270	3
343273	6
343272	4
4267879	2
766609	9
402846	3
1106519	3
727545	2
727546	2
802871	9
1106515	2
1106514	1
265108	3
265109	12
3239359	3
265102	5
265103	4
265106	1
2169466	5
15708	2
295515	2
295516	2
534265	2
295511	1
4328851	2
295513	7
15700	2
321648	4
4465350	4
15703	2
15704	2
4465357	4
3816676	8
3466729	7
3631907	3
9755	7
9753	7
9752	7
3466722	7
3466725	4
4345431	2
4345433	10
269733	2
269732	3
187419	1
187418	4
233033	2
899275	3
243530	7
4184496	7
24148	3
4347498	2
4347499	1
4347494	2
4347495	2
4347491	2
4347492	1
4347493	9
4340148	2
4340147	7
4340146	2
4340145	4
862357	3
4415984	2
1120752	3
4415986	2
1120750	2
1120757	3
4415981	2
4415982	2
4415983	2
344726	1
3033348	3
298641	4
344725	3
4415988	2
4415989	3
136857	3
531721	3
531722	5
531724	4
136859	6
3645911	3
346388	2
346389	3
157246	4
346383	4
822699	6
822693	2
822692	6
3927146	2
701866	2
4311460	3
4453317	1
4311467	7
4453315	1
4453318	1
3199128	8
109851	4
268461	9
268462	1
268463	2
268466	3
621516	4
169927	3
2923425	3
169921	3
2089945	4
7567	4
4461154	4
4461155	3
4461156	7
4461157	6
4305443	5
1579723	4
562096	9
206024	3
980525	2
299518	2
818855	10
345899	4
299513	4
345893	6
299516	4
299517	4
183413	1
183412	4
183410	4
52466	2
183414	1
374557	3
183419	1
180140	1
180141	5
2038051	2
132661	6
132662	6
3532472	2
188775	1
4353229	3
188773	1
188772	3
235969	2
4310731	2
4310730	3
763954	3
4310735	2
813739	2
763950	4
4310736	1
4310739	4
813735	3
614663	2
614662	2
3097539	3
218096	1
218095	3
4314573	3
3846637	3
3582695	4
652645	2
3290486	3
680397	2
3382607	2
1625694	2
4460404	4
1625696	3
1625697	3
563323	3
1625692	2
1625693	3
537184	6
537182	10
537183	1
4342168	1
4342167	2
4342166	3
4450831	2
929111	3
4450837	2
537188	1
2954729	4
325329	1
744743	2
744744	5
744745	4
4399059	2
325326	8
4399051	6
4399050	1
205397	4
205394	4
205391	1
131314	2
3831490	2
3831498	1
4367198	2
571553	3
261971	5
4396558	3
2486312	3
4396551	7
4396557	1
583831	5
1863625	1
219327	2
583834	1
583837	2
583838	4
4316363	2
2829512	5
703731	1
1863620	5
821579	3
780282	3
555348	1
203941	2
821570	2
4423773	4
4423770	7
135947	6
135940	2
4423777	4
4423774	3
4423775	5
4423778	5
820223	2
2919166	2
322678	3
1117097	2
1117094	3
554378	2
4383412	2
4383413	2
4326907	2
170919	7
517916	4
281078	2
204443	1
38561	2
38560	2
38566	2
320298	3
4310951	5
320291	6
320297	3
236904	3
622740	3
329370	2
329371	3
1003077	5
1046701	4
580891	1
246200	2
306945	3
821008	2
567355	6
252438	2
2816796	1
587488	2
587489	2
587487	1
587480	9
580898	1
587482	3
300872	4
300870	4
300877	1
300879	4
4422420	1
4422423	5
575478	3
575479	5
575472	3
1114544	10
739013	12
323981	8
4362193	2
3383663	4
693710	5
1104748	1
768811	3
362650	3
4412017	2
4412015	2
272806	3
4412013	2
272800	4
272803	4
272809	1
4412019	3
786131	4
785554	2
785555	7
538662	3
723041	1
591285	3
417361	2
591281	1
417366	3
574890	2
3259161	2
4322377	2
4322378	2
4322379	6
174114	1
160258	6
4323428	6
4323426	5
4323425	2
300609	4
574893	3
585228	5
585229	3
538668	1
585220	3
585221	3
585227	4
3562948	2
4368676	2
4368675	4
1075449	2
4368673	5
4321489	1
3310475	7
4321485	3
4368679	8
574702	7
242437	1
1891666	3
226506	1
226502	3
226508	2
4319385	5
543870	3
4473994	10
213180	4
835201	1
835202	7
213189	2
835206	1
740589	10
2912140	3
580768	2
2912147	1
154843	2
154845	4
580763	4
777057	1
158711	5
586498	3
503238	7
158282	8
261040	1
261043	5
318070	12
4401857	7
261044	2
158284	1
318074	4
241317	3
241315	4
241311	1
843454	3
1108984	1
765009	1
843459	4
4320991	7
89236	2
625825	2
129863	2
4326132	1
4326133	3
4326130	4
4326131	3
834845	9
4378519	1
670400	2
4378512	1
4378511	4
4378510	4
4378517	5
1001007	5
4327427	2
4327426	1
4327429	1
4327428	2
649499	7
192058	4
1133950	4
354963	1
305512	2
830358	2
1554783	6
305518	1
305519	2
830355	2
581410	2
581413	5
581412	4
153105	2
1609478	1
1609479	2
4354887	5
4354885	5
1609472	2
240992	6
250814	3
1609471	2
1609476	2
153109	2
1609474	3
1609475	3
43663	2
1020619	4
292932	4
260316	1
148429	2
1020612	4
300043	2
300041	2
842326	2
875704	3
300045	2
842322	1
875709	6
292981	3
1028426	3
580286	4
806372	3
161806	9
323155	4
323152	2
806377	4
1009254	5
806378	1
3119180	4
518474	2
518477	2
4457439	3
518471	5
162570	4
350891	5
350893	2
350892	2
350896	3
510260	5
2626017	2
510264	2
510265	2
4404572	5
4404577	2
4404576	4
4404575	3
1139892	9
4324190	4
807570	2
4324196	5
1139897	1
198175	4
198176	1
198170	3
369973	2
4449070	1
190789	10
930913	4
4449075	3
2517242	2
4449079	6
930919	10
176183	4
815453	3
190786	2
176186	3
295064	2
2510637	3
295061	2
368139	1
152272	4
368134	5
368130	1
568619	2
1032520	2
4300015	3
4300017	3
4300016	3
4300012	4
111624	5
2298619	5
806221	2
1029772	1
578457	4
4309578	3
3117273	4
4439571	1
4483751	2
4309574	2
4309577	3
1888517	5
288181	2
2216436	3
187718	4
288184	4
187714	3
4314051	6
4314052	6
187717	1
982266	9
4314057	3
157737	3
4127493	5
157732	4
4127496	5
324966	2
2500063	1
1124552	9
264560	2
4282092	4
264562	6
575551	3
4282096	10
4325125	2
264569	1
264568	1
4408793	5
263036	3
1108035	3
263034	2
263035	2
263032	4
192929	6
4297538	4
567115	1
192921	3
192920	1
192923	1
192924	1
79724	3
1136709	6
549937	1
1136701	5
28400	9
533217	4
58554	5
566959	3
587137	5
751728	3
4301769	4
751725	4
566951	2
4069764	1
4301760	2
4069762	2
4301762	3
4301763	4
539917	2
289769	4
289191	5
587132	3
539915	3
750452	10
2634798	2
197250	2
4482804	3
1136207	2
2884179	2
583348	2
3602946	10
3269222	3
4478058	1
4478057	4
540516	2
1864499	10
1864498	10
540513	4
4478052	2
4478051	3
4478050	3
882023	2
584444	2
542404	5
882028	3
4402791	4
1137229	2
4402797	1
23714	1
539918	1
23710	4
533392	3
4294845	2
4454318	10
1105548	2
1105540	2
1105547	2
1105546	2
1105544	2
1146678	10
4225748	1
266552	5
266551	2
760955	2
2892221	3
1146676	2
266559	5
751671	4
258947	7
1119537	2
1119535	6
1058761	2
1023140	3
296290	4
3865357	3
196125	4
196123	2
748462	3
256127	2
921297	2
107911	2
3428172	1
297038	2
256788	2
297037	7
845878	2
845879	1
297033	3
2853117	1
2853112	2
617066	2
563200	2
563202	2
4473294	5
295898	2
250903	6
227900	3
295892	2
368968	1
368969	4
4475573	2
332899	6
368967	6
368965	3
62922	2
3861782	4
4316029	10
2278791	3
4352015	1
3770699	2
652245	5
878231	5
3144570	5
1038849	4
1107568	2
1107566	2
805547	3
1107562	2
1097208	5
153279	2
2168679	2
99384	3
1066748	5
4398656	5
4398657	2
4398655	1
4398652	1
4398653	5
3773964	1
99387	9
4398658	1
808907	4
64370	2
4424360	2
923473	5
4297800	3
186244	1
232223	1
232222	5
167420	3
186242	1
626624	6
846497	2
186248	6
2352826	1
753378	3
2352822	3
4346649	10
1568317	2
251050	2
18561	3
3752510	6
1121369	10
1121362	4
885346	4
345756	2
345757	1
202525	3
345753	1
202528	2
823441	7
3388641	2
823442	2
346221	3
4377397	9
1116635	5
346228	2
1116632	2
1038904	2
4465256	3
4465255	4
605803	3
695645	6
4465250	5
194504	3
83388	2
194508	7
1145519	2
269674	2
821090	1
1067038	2
1067039	3
168952	3
1145513	2
796924	2
2677735	2
511828	2
4466508	3
433880	2
511820	4
769611	2
705850	2
561221	6
561222	1
569432	2
1652051	2
569436	3
550938	3
814193	4
814192	2
31763	1
77937	2
550931	2
550933	4
298562	4
550936	7
298561	3
253664	2
4481525	3
981957	3
757322	4
4481522	3
531689	1
4481520	2
1120090	1
531685	2
1120094	4
1120095	3
4481529	2
4481528	2
2480449	4
183597	4
183592	4
2360515	2
761700	5
523244	4
523246	4
173340	3
183598	4
306769	4
4418393	4
1117948	2
1117949	1
4418394	1
4418395	6
1117946	2
822715	3
824571	1
4457346	2
4311346	9
303498	1
617852	2
435509	3
4332078	4
273669	1
1569897	2
4332073	2
273661	2
4332076	2
4332075	3
562757	4
317869	4
562753	3
317865	3
776802	3
317867	3
1068973	5
562759	2
317862	6
4447936	3
314988	1
314982	12
314984	3
2215257	2
510511	1
4760	3
4762	2
4765	3
172438	4
287514	2
4769	5
2272797	6
524736	3
172431	5
524733	1
2272791	4
452998	4
396826	4
854963	4
515234	1
628277	8
628276	3
628271	1
1010491	7
366690	2
174683	1
526399	5
366699	5
170490	6
832060	7
527048	1
527049	3
4370695	2
527042	1
4370699	3
527041	4
527047	1
1113915	8
244505	2
404788	1
244501	3
244503	7
163331	9
351607	4
450737	2
618926	2
702348	12
702349	3
2966489	4
241487	2
560465	7
290161	3
241483	4
593556	2
593555	5
560464	4
552798	5
241488	3
592601	8
240357	4
592604	4
592605	3
240352	4
240353	2
821434	4
439507	3
248166	4
248165	2
904452	5
140463	2
140460	4
286647	1
266246	1
1077313	3
514549	12
514548	3
205213	4
514547	6
205211	3
855618	7
205214	5
514542	2
4324048	6
805339	3
320156	1
270500	2
4449120	2
255844	2
805334	3
1778912	2
328708	6
3941682	2
255843	3
542517	3
1139702	2
1045353	6
1139706	2
667615	5
4302427	3
176091	1
4324041	3
4338664	1
4338666	4
4338661	4
4338660	3
4338662	2
4448631	6
4338668	1
4324046	2
820383	3
4445572	2
1134088	3
3239984	2
4438444	4
268855	3
141731	4
1117119	2
141733	2
719639	4
141738	2
719631	2
243629	2
2450931	4
455651	2
622460	7
804060	3
746287	3
622468	1
876951	2
1135562	2
4358941	1
876957	2
391328	8
1080702	3
1132860	4
175167	3
175163	1
297981	7
4190059	3
774265	6
221811	2
305897	2
297984	3
4377343	2
4377342	2
45967	2
4320656	2
45960	2
4320653	6
45962	5
324706	3
4377349	2
324705	6
4320659	3
4439798	1
111003	4
111001	4
4439797	2
732053	3
542666	6
849761	3
361957	2
110750	3
110751	3
834054	9
834052	3
834053	1
110756	2
2856575	2
2856573	3
50412	1
662734	3
540287	1
540284	3
540283	2
540282	2
4471801	1
3479426	4
4294576	3
4471805	10
540288	2
218704	2
591563	2
591564	4
218703	2
218700	1
591569	5
288681	5
185283	1
262276	3
4356788	3
262272	1
549368	8
4337537	5
311074	5
319268	3
311077	4
195908	3
311073	3
319261	2
195907	3
319262	6
311078	3
777794	4
319266	3
240491	2
2971054	2
4294579	1
4321524	4
4117602	2
7772	2
10323	7
4444857	7
1643422	5
636024	5
1643426	9
7778	2
560863	5
4406816	3
4359636	2
625780	4
4359634	3
357494	1
560868	6
4406818	6
4406819	6
357490	6
4308378	2
848410	2
848412	1
1943557	3
2205850	3
52810	10
733181	2
541154	5
541155	2
282480	3
988801	2
1059200	6
833703	4
2417241	2
4479659	6
581591	2
581592	1
581594	4
581597	6
581599	2
273523	6
318137	2
318134	2
318132	10
881208	3
97399	7
816266	4
310301	4
666738	2
158321	3
310308	5
1030824	3
307638	3
215819	4
215818	3
4475009	4
3650414	1
4475002	2
4475001	6
4475000	6
4456620	7
1115758	2
4456622	3
3015665	1
878746	1
289947	5
4210304	2
341615	4
289944	3
341617	10
4405546	7
341618	5
4210308	4
199102	1
199103	5
200854	2
199106	6
199105	6
349444	4
349445	3
349440	2
2556149	5
26566	5
931964	6
4312560	2
931961	2
4451162	1
191378	3
250312	3
827000	2
294270	4
294271	3
294276	7
190426	1
1574400	3
294279	1
98889	4
190420	5
211246	3
735912	8
90620	2
4447772	6
676110	4
90624	2
90625	2
1072484	2
966017	3
192485	4
192482	2
1729189	4
148388	6
300365	1
793140	2
300360	2
148380	9
665283	1
148387	8
148384	3
4410245	1
4484301	5
4484305	6
578087	3
578085	4
677642	4
289133	4
1024719	2
985017	4
4457578	1
4457576	1
3224662	6
736467	5
1024713	1
1129325	3
4351259	4
4351258	3
1106940	2
1106941	3
4473587	2
4351251	2
1129328	7
302175	10
609315	1
609314	2
265553	12
265551	3
264684	3
264686	1
264687	5
264680	6
659760	3
3392836	4
3046156	2
99757	6
99755	3
277908	1
1991807	3
48010	4
48016	2
798097	2
1135355	2
4056782	1
1135358	3
216737	6
29253	8
4056788	3
565501	6
4374082	2
4374085	2
4374084	5
565507	1
269309	5
269306	6
195135	1
4446822	3
4446820	3
423455	3
109428	9
3980917	2
3850852	2
566857	2
566855	3
79085	1
566853	2
109422	6
150162	4
2193685	6
194420	1
2193687	2
194426	1
194424	6
194425	4
194429	5
4394997	6
759451	1
3705502	2
955539	3
1128054	2
350777	5
4350128	2
4350124	6
4350125	3
4350126	2
4350127	2
1128058	2
543148	4
4350122	2
4350123	2
105882	5
1106130	6
4444621	3
105885	5
756307	1
4480104	4
4480100	2
859522	3
4129992	3
338168	3
338160	3
338166	4
338165	3
3094413	2
831348	2
769188	2
3097140	1
4413980	4
4413981	5
1147464	3
1147463	2
2028258	4
3004856	1
4475437	1
197193	1
197191	3
2867333	5
299943	5
197194	3
1097590	3
197198	3
639895	2
221195	4
938628	1
921310	2
852654	4
852655	1
588725	1
327709	3
258522	1
201227	1
3475269	5
258528	3
327704	3
32934	3
340322	2
23694	1
2172721	5
4415931	4
262546	2
3196811	2
995035	4
533300	3
609138	10
224949	9
224948	3
332919	6
145059	6
1123821	2
4415937	1
2940867	5
2940868	2
145053	3
266459	4
145056	3
908515	4
579965	3
900761	6
900763	4
696477	5
964699	3
579960	3
319869	1
942894	3
4402068	2
198	2
817332	10
761968	3
592195	1
1084893	1
2690382	2
4424700	1
589691	4
450439	5
922669	4
589696	7
1036405	3
984129	3
3831040	2
3831041	2
166638	3
166639	9
295914	1
295916	1
295917	4
295918	4
4409351	5
166630	5
166631	5
166637	1
4346565	4
4346564	6
3480258	3
4346568	1
4396909	1
812866	3
223627	3
223625	1
223622	2
223621	5
4352199	7
844237	4
4334796	6
4352197	3
4334790	3
4334792	3
4027697	4
418882	7
810646	2
810643	5
810642	4
810649	3
222554	5
781103	4
336110	3
336115	3
4408007	4
204010	2
4464801	2
4408001	3
4464802	8
1142145	5
4464809	2
4464808	4
4408009	4
271122	4
271121	2
4411931	5
4411930	4
3942007	10
4467578	7
4017932	2
197343	3
551942	2
551943	2
2578357	1
551941	3
4100332	3
4100336	12
4100335	2
1062031	5
4020950	2
616	2
508976	2
522013	1
522011	5
522016	1
522017	5
522015	3
4322704	10
4322707	3
4336939	4
208645	3
567382	3
4439223	3
4439227	2
4439229	2
1114113	1
1114110	2
3743397	2
1114114	4
614	2
1114118	4
226970	2
1115240	1
147024	4
147025	2
226974	3
147020	6
242805	6
1115249	2
226979	3
242808	2
662249	7
147028	2
4333260	1
3203828	4
4333262	2
103014	2
272478	2
272479	6
3203822	4
3203827	4
3203826	4
326270	6
326271	4
326276	1
326279	3
751891	5
315975	3
814011	3
315977	2
315976	4
315978	4
590109	2
590108	2
640605	2
815761	1
815762	2
815769	1
815768	3
1110742	4
87473	4
87474	10
1110745	5
4323074	3
4323075	10
4323076	3
4323071	3
4323072	3
4323073	3
3284299	4
533912	7
935671	3
935677	3
171640	2
4344344	5
525749	7
835656	9
170512	2
526213	1
835653	3
1010510	3
4379631	2
141842	3
4344343	4
716081	1
334533	11
279589	3
740154	5
334538	2
740158	5
4332135	2
530942	4
260884	4
4332131	2
279582	3
260885	3
2552920	2
2309099	4
681681	6
593456	2
593457	2
593452	12
593453	2
581861	4
534845	5
761797	8
241728	3
241729	5
546380	4
546382	2
1051443	3
546384	7
546385	3
546386	2
546387	2
287496	4
4047	3
287493	3
159315	2
4043	3
249111	1
4226719	2
249113	2
4312636	4
276206	3
904538	3
276208	3
1077295	2
277152	4
277153	2
277154	2
323580	3
323583	1
2105437	2
3721831	2
3721830	2
323589	3
323588	3
489700	3
832384	2
4370714	4
4370717	4
4370716	4
4370711	3
4297289	2
4370713	4
4370712	4
99723	8
1568489	4
792884	2
4348796	11
4348797	5
4348793	3
13325	2
4339879	2
3195675	2
4339870	4
4339877	2
248646	1
547478	1
659581	2
522825	7
248641	2
90390	3
522828	4
547475	1
90395	3
248648	4
248649	2
362308	7
140347	3
4319914	5
362301	3
2398183	7
140349	3
2229078	3
3429911	3
142533	2
566047	3
1002186	6
4473707	2
805279	3
805276	2
805275	2
566043	3
1087356	5
647926	2
3174760	2
3154070	5
944672	1
264919	2
264916	3
264913	6
2963651	2
1140810	5
1102930	4
1140817	2
4330517	8
4330516	10
4330514	10
4462422	1
798679	5
4330518	6
3592276	6
4323828	2
943138	4
1134322	9
4323827	2
4323826	2
4323825	2
4323824	2
161690	2
2165582	3
2165583	3
2165581	9
2219500	2
367847	2
663384	2
663385	1
367842	7
367843	5
3997177	3
3997175	1
3997172	1
1109114	6
178189	4
1109117	2
3828855	3
1109113	3
746126	2
288570	1
288573	4
826617	1
643724	1
661722	3
191145	3
826611	1
661728	2
4357370	2
1858797	4
930380	3
540124	4
548719	4
548718	2
548711	4
1108440	3
706095	2
548715	3
1108444	6
706091	3
4161145	1
28056	6
312209	1
4400687	3
4477701	4
305914	1
305915	3
28059	3
1758360	5
788067	2
382905	5
2323187	2
382902	7
2915560	8
774899	2
350264	3
464046	3
779617	2
872265	5
291462	1
291463	3
728797	3
2925754	3
774894	2
4256707	1
4256708	3
1770404	3
4459383	2
1013060	2
954970	2
747290	7
846190	3
957409	3
957408	2
4459122	2
4458347	6
4458346	6
4458343	6
3167757	3
282529	2
282521	5
932006	3
4356422	4
4356421	10
220025	2
220022	10
4354486	2
1146205	4
215991	3
215995	5
259813	3
215999	2
4353134	4
266186	10
467539	7
266183	3
340048	3
729449	2
544718	7
296113	4
348215	4
544715	3
163874	3
544711	4
163872	5
355373	5
4450111	3
355371	4
4450113	5
1002970	2
1002971	3
4450117	3
4336513	2
517924	7
817688	2
1066317	5
501947	4
817685	3
4451644	3
4451643	3
4451642	5
817683	2
631649	2
297440	1
4447543	2
297442	3
4459430	2
4459431	3
631645	1
193654	1
592547	3
193657	3
4364470	7
4440360	4
259108	2
801265	6
259105	2
102361	2
4355992	2
193659	1
994273	3
227555	8
579255	2
579256	2
579257	4
2663310	3
571063	4
984244	3
571067	1
571066	1
571065	1
1009091	4
335915	4
335914	2
335910	6
906503	4
1141961	2
4352421	4
356883	1
341790	3
1141967	6
4352428	2
3091248	5
341799	3
991571	2
658313	2
885793	4
813968	1
537487	10
956237	4
537485	3
107784	5
4336516	12
49248	3
223706	3
223701	2
223703	3
808532	4
1142437	2
2900798	2
202089	1
808534	8
1142431	6
808539	3
2900797	1
1142439	6
192525	1
2740	2
4365707	5
2745	2
4365701	4
4365702	8
3466726	4
192529	1
108632	9
302746	1
271499	3
516108	3
516103	8
271492	3
271490	4
271497	10
1067447	2
516104	7
578127	2
578126	3
645659	9
567604	6
985196	10
570335	2
277995	1
567608	2
4407115	2
679343	3
187417	2
4482407	2
4443846	1
4443842	2
233031	1
757770	1
521628	7
4391750	10
659047	4
659044	2
4391753	1
521621	5
339110	5
529459	5
222079	4
339117	3
339116	6
775285	3
775284	1
529450	3
222071	2
775280	1
331342	2
72586	3
330439	4
4311791	6
330435	4
330434	3
330437	2
330430	2
612788	3
675990	2
109587	4
109586	4
109584	3
769222	2
769223	1
511452	2
511453	5
511454	4
769227	2
2878500	2
606961	1
606965	3
3731893	2
710707	4
332496	3
332490	4
1017985	3
166085	3
560376	3
814568	5
793294	5
1864530	1
814566	2
792522	2
4416767	2
1034301	4
792526	3
4416763	4
334113	2
727879	4
1811498	2
815210	8
815212	2
4390407	4
847453	2
4390403	4
3127967	2
105928	2
3127963	1
105921	4
3294958	10
1100082	2
1100087	7
34757	2
1931747	9
992686	7
338648	5
1931741	9
4436003	2
338644	1
4436001	3
338640	1
4436005	9
91834	6
3148512	2
528351	4
4437750	1
4402555	3
1112231	3
1754884	4
144207	5
225930	3
225933	3
144204	3
144203	3
144201	2
107218	8
273239	4
100258	2
4415985	2
100255	1
100256	6
273232	2
903372	5
903373	5
1059857	2
4415987	2
4415980	2
130950	2
313807	3
313804	1
1895711	3
313800	4
334431	4
4417415	3
4417416	6
588442	4
334435	4
588444	5
588447	3
334436	3
807294	1
4417418	3
4417419	2
3603733	3
344723	3
165080	2
276778	3
294961	1
151454	2
276770	3
276777	3
528355	1
294969	10
277429	4
261815	3
277420	3
277421	2
188785	3
277425	4
277426	3
686258	2
168167	10
796529	1
1113544	2
4384857	3
4384856	4
2354813	8
4384853	2
4335361	7
101129	5
4484491	5
101121	12
3422642	6
3422643	4
813104	3
821868	2
821867	4
821866	2
821860	5
821862	2
4336476	6
337169	3
337167	4
4336478	6
4336479	6
337162	2
36243	2
589710	6
337161	6
253517	3
253514	8
253515	1
253513	3
68348	3
85367	3
253518	2
189438	4
157249	10
2045027	1
157248	6
204198	2
204199	1
358307	2
2674832	4
520330	4
4425842	3
4425840	2
4425841	2
133630	2
520338	2
742025	6
2408389	2
4348002	2
552901	1
944309	3
274308	2
552908	10
4337981	3
314586	5
314585	2
314582	4
682208	8
4303475	3
551777	2
314589	1
314588	5
836464	2
836466	1
4331121	9
4398091	2
4331123	2
4398094	2
4331124	4
4331127	4
4398099	3
551772	2
1114097	2
3538812	3
1114094	2
172830	1
4455964	3
4330456	9
4317276	1
2044777	3
3754500	2
407056	3
4381536	2
4381531	2
4381530	2
4381532	4
887025	4
329083	2
4414420	5
1010897	4
4315845	2
316567	1
4469072	2
4469071	3
4469077	2
316561	3
316560	4
702953	2
702951	2
132946	2
132943	2
3025817	3
174598	3
1006314	5
837333	10
837330	7
695080	2
788519	3
695085	3
1531100	4
565779	3
325888	3
4360398	3
525461	4
4360394	3
325883	4
4360396	1
325887	2
171568	3
525469	4
556104	2
556103	2
556102	2
3256977	7
556100	2
4420524	5
556108	9
4333184	1
4333187	2
4333186	3
4382848	5
4311464	3
3260	2
4382846	6
4382847	2
234608	1
3262	3
886778	3
103197	6
234606	3
4430776	2
4448880	5
102424	2
4373742	4
2790042	5
4373746	2
313524	4
1131950	5
1131954	2
4417379	2
11226	4
1131959	5
11223	3
2372909	1
958058	3
1715141	2
4313028	2
182176	2
4221747	4
214739	2
109852	4
4221743	2
313522	1
214730	2
1066213	3
215468	4
3954102	3
4361049	3
3109421	3
916311	4
4361043	2
4361041	1
4361047	3
4361046	3
4361045	2
1111717	7
4423873	3
2513077	1
279260	3
279263	6
950020	1
279266	2
279268	3
321260	5
191708	1
191709	2
4470752	4
191700	3
197173	4
191703	3
415160	7
2872164	5
12758	2
1125779	2
546265	3
1125775	2
12753	3
159294	2
575948	5
159293	1
64737	2
4342645	2
575940	1
4342643	3
4312771	2
159299	9
1090950	3
133577	2
4319899	7
4454339	2
4319891	10
4197100	3
1829647	1
349019	4
349018	3
824134	1
349012	6
2546331	1
349016	4
49735	2
2417859	4
49731	3
4471401	1
827444	1
827446	1
827441	2
4471409	2
4471408	6
190078	6
2962806	2
255052	2
190076	1
190071	1
190073	4
140593	2
554529	2
140592	2
267781	3
4082340	2
942142	1
522783	2
4463632	2
4463631	2
13485	3
90210	1
522789	3
168638	2
4060124	5
1928989	2
820143	3
820142	2
820145	7
418158	2
1928984	2
1928985	1
2200128	4
451472	3
4070326	1
2355236	1
179171	3
179170	2
179173	5
2438597	3
179174	1
179179	3
736832	5
736831	2
932288	4
907604	3
299514	2
570230	5
570232	2
570234	8
570236	2
570238	4
94468	3
830842	3
826796	4
826797	9
826795	2
143639	3
143638	1
4029632	5
143632	2
143636	4
651004	2
216349	3
828378	2
2035204	9
307887	3
2874789	2
216341	1
3052115	1
216345	3
828374	3
754584	2
1995869	3
1144506	1
519414	2
519416	5
519417	4
519412	2
351070	4
351072	4
351073	6
1524932	3
290679	3
290672	1
290674	10
290675	10
939101	3
955905	6
357890	4
178224	5
357893	2
357896	2
357897	2
803752	2
356760	3
356762	3
930460	2
847129	5
673247	3
283599	5
283595	12
4423132	1
202477	3
221237	1
221235	2
963964	5
221238	3
148917	2
174418	3
148915	3
1113028	5
174415	1
174417	3
148918	4
