GenomeID	Temp_optimum
4454248	52.5
3078940	52.5
2035406	52.5
2314389	52.5
4328551	52.5
4184572	52.5
4417324	52.5
4385917	52.5
2687755	52.5
4482504	52.5
3008042	52.5
1733120	52.5
3832677	52.5
4434766	52.5
2950921	52.5
3832470	52.5
4296837	52.5
4346496	52.5
4141759	52.5
1661969	52.5
4251321	52.5
4184567	52.5
1521362	52.5
3931540	52.5
3189620	52.5
4468510	52.5
4341446	52.5
4329146	52.5
4347526	52.5
4353496	52.5
4325158	52.5
4335481	52.5
1571221	52.5
2029689	52.5
4455519	52.5
3915203	52.5
4441259	52.5
3670453	52.5
4373977	52.5
4350288	52.5
3209979	52.5
4191310	52.5
4474370	52.5
4457498	52.5
4445569	52.5
4387754	52.5
2789395	52.5
4407367	52.5
4299833	52.5
1571240	52.5
1593224	52.5
3671152	52.5
1705127	52.5
2560612	52.5
4473710	52.5
2658706	52.5
3569800	52.5
4481711	52.5
4446064	52.5
3440974	52.5
1913688	52.5
2287437	52.5
1750665	52.5
1593218	52.5
4475963	52.5
3815959	52.5
1980585	52.5
3453391	52.5
4407990	52.5
3303757	52.5
4474367	52.5
4137240	52.5
4128775	52.5
3594551	52.5
3152796	52.5
2921545	52.5
4471115	52.5
2565984	52.5
3314177	52.5
4367644	52.5
3708140	52.5
2091371	52.5
4364124	52.5
4120222	52.5
3724366	52.5
4392605	52.5
4346691	52.5
4336642	52.5
1817268	52.5
2551492	52.5
3578744	52.5
4251761	52.5
4454717	52.5
2507344	52.5
1693610	52.5
4436198	52.5
3511772	52.5
4351671	52.5
2427943	52.5
4366028	52.5
3933494	52.5
4450635	52.5
4199281	52.5
4436663	52.5
4326282	52.5
4360723	52.5
1993717	52.5
2893542	52.5
3035959	52.5
1959225	52.5
2491914	52.5
2166233	52.5
1742239	52.5
4159128	52.5
2840210	52.5
2535454	52.5
4421901	52.5
2766325	52.5
2275483	52.5
2493508	52.5
4392604	52.5
3901547	52.5
3029456	52.5
4315367	52.5
2738384	52.5
108674	52.5
557384	52.5
4391715	52.5
3334986	52.5
4178495	52.5
4451441	52.5
2272564	52.5
2272569	52.5
4467203	52.5
1803622	52.5
3487212	52.5
297365	52.5
4141001	52.5
4336314	52.5
4471106	52.5
4353728	52.5
2195545	52.5
3547941	52.5
4352271	52.5
4382253	52.5
4174920	52.5
613397	52.5
64346	52.5
85315	52.5
2070191	52.5
4438848	52.5
4369741	52.5
4397012	52.5
2207436	52.5
1744263	52.5
2799290	52.5
4384510	52.5
4340950	52.5
4353996	52.5
4390926	52.5
2177520	52.5
2540435	52.5
1999047	52.5
3974601	52.5
4139745	52.5
3226031	52.5
2881200	52.5
4417696	52.5
2016291	52.5
2560610	52.5
4336645	52.5
4219229	52.5
3995347	52.5
4318777	52.5
2026018	52.5
2558589	52.5
4384872	52.5
4404626	52.5
4477074	52.5
4341925	52.5
4402676	52.5
4436875	52.5
3374366	52.5
4242719	52.5
2073631	52.5
4431099	52.5
4014303	52.5
2828382	52.5
4381498	52.5
4342269	52.5
3971964	52.5
4219225	52.5
4376593	52.5
4384322	52.5
4429792	52.5
3429725	52.5
4327261	52.5
3724775	52.5
4345398	52.5
4415451	52.5
4352895	52.5
4139740	52.5
4457684	52.5
2935730	52.5
3089946	52.5
2272565	52.5
3019708	52.5
2928891	52.5
3148483	52.5
4409801	52.5
1661618	52.5
4440884	52.5
3400359	52.5
3704026	52.5
4451435	52.5
2779753	52.5
4219230	52.5
2955143	52.5
3817528	52.5
2832768	52.5
3100940	52.5
4421080	52.5
4442898	52.5
3163325	52.5
3705204	52.5
4366472	52.5
1640464	52.5
4387362	52.5
3373552	52.5
2662605	52.5
4481865	52.5
4389377	52.5
4434245	52.5
4375471	52.5
3199531	52.5
4419541	52.5
3601533	52.5
4441837	52.5
2371685	52.5
3729632	52.5
3161956	52.5
4427803	52.5
4424274	52.5
4198777	52.5
4328060	52.5
4470412	52.5
2578094	52.5
4416840	52.5
4398294	52.5
3548549	52.5
4481641	52.5
4405559	52.5
1592057	52.5
2464221	52.5
4350195	52.5
2253805	52.5
2244841	52.5
4447301	52.5
2890166	52.5
4326281	52.5
3333304	52.5
4364369	52.5
4445072	52.5
4422421	52.5
4287948	52.5
2090906	52.5
3198431	52.5
1737319	52.5
3303752	52.5
4369564	52.5
4481643	52.5
4459429	52.5
4343182	52.5
4343178	52.5
2132856	52.5
4420599	52.5
4234373	52.5
4429197	52.5
3758546	52.5
3175653	52.5
4384749	52.5
2493219	52.5
4474766	52.5
3321279	52.5
4339554	52.5
3260981	52.5
2818413	52.5
2064831	52.5
4392162	52.5
1741676	52.5
4377657	52.5
3660358	52.5
4437041	52.5
4474329	52.5
1766442	52.5
1712180	52.5
3728861	52.5
1866486	52.5
4330175	52.5
3882055	52.5
1512313	52.5
3333306	52.5
4476645	52.5
4447047	52.5
4187121	52.5
2567744	52.5
4438926	52.5
3294558	52.5
2881202	52.5
4464153	52.5
2820244	52.5
3725871	52.5
4481886	52.5
4464710	52.5
4386166	52.5
4369197	52.5
4479875	52.5
3013696	52.5
4373914	52.5
2598157	52.5
4384746	52.5
3426409	52.5
2671127	52.5
4344698	52.5
4483025	52.5
1593220	52.5
2592159	52.5
4412568	52.5
2529470	52.5
2685537	52.5
2074861	52.5
4332870	52.5
3896306	52.5
3165591	52.5
3912762	52.5
4350479	52.5
4421219	52.5
4375533	52.5
1791899	52.5
3678628	52.5
4418683	52.5
3834798	52.5
4444099	52.5
3823339	52.5
4324836	52.5
2795077	52.5
1938797	52.5
3899010	52.5
1961211	52.5
2820531	52.5
4217461	52.5
4392289	52.5
4371199	52.5
4212794	52.5
3955717	52.5
2479570	52.5
4048869	52.5
4424560	52.5
4079462	52.5
4335827	52.5
2051275	52.5
3241536	52.5
4324611	52.5
4354265	52.5
2454585	52.5
1523812	52.5
2820540	52.5
4466377	52.5
4336859	52.5
1750400	52.5
3601610	52.5
4478175	52.5
2624938	52.5
3164925	52.5
4355433	52.5
3936549	52.5
2812402	52.5
4418637	52.5
4356922	52.5
4473610	52.5
4449982	52.5
2064575	52.5
2858776	52.5
3934299	52.5
4391581	52.5
4037004	52.5
4109682	52.5
3815248	52.5
4378965	52.5
1540211	52.5
4380093	52.5
3393026	52.5
2175677	52.5
4383786	52.5
4010228	52.5
4224611	52.5
4359523	52.5
4372292	52.5
4461653	52.5
4382933	52.5
4382251	52.5
4349769	52.5
4404677	52.5
1834642	52.5
3785616	52.5
4368695	52.5
4478091	52.5
2253803	52.5
2253807	52.5
4443516	52.5
2927630	52.5
2051277	52.5
2051280	52.5
2700814	52.5
4392288	52.5
3403504	52.5
3740038	52.5
1853631	52.5
2096477	52.5
3813505	52.5
3655137	52.5
4418713	52.5
